Image Name, Original Label, Noisy Label
13 no.jpg, 0, 1
48 no.jpeg, 0, 1
23 no.jpg, 0, 1
N22.JPG, 0, 1
42 no.jpg, 0, 1
50 no.jpg, 0, 1
29 no.jpg, 0, 1
no 90.jpg, 0, 0
no 99.jpg, 0, 0
no 1.jpg, 0, 1
49 no.jpg, 0, 1
No18.jpg, 0, 1
N21.jpg, 0, 1
28 no.jpg, 0, 0
no 9.png, 0, 1
36 no.jpg, 0, 1
No20.jpg, 0, 1
37 no.jpg, 0, 0
46 no.jpg, 0, 1
39 no.jpg, 0, 0
no 98.jpg, 0, 0
no 6.jpg, 0, 1
No21.jpg, 0, 1
9 no.jpg, 0, 1
No16.jpg, 0, 1
12 no.jpg, 0, 1
no 95.jpg, 0, 1
35 no.jpg, 0, 0
N11.jpg, 0, 1
17 no.jpg, 0, 1
no.jpg, 0, 1
N5.jpg, 0, 1
no 92.jpg, 0, 1
N6.jpg, 0, 1
No11.jpg, 0, 1
38 no.jpg, 0, 1
3 no.jpg, 0, 1
1 no.jpeg, 0, 1
14 no.jpg, 0, 0
26 no.jpg, 0, 1
45 no.jpg, 0, 1
no 7.jpeg, 0, 1
No22.jpg, 0, 1
22 no.jpg, 0, 1
No15.jpg, 0, 1
No17.jpg, 0, 1
43 no.jpg, 0, 1
no 94.jpg, 0, 1
32 no.jpg, 0, 1
N1.JPG, 0, 1
No13.jpg, 0, 1
no 91.jpeg, 0, 1
25 no.jpg, 0, 0
no 97.jpg, 0, 1
no 100.jpg, 0, 1
N26.JPG, 0, 1
No12.jpg, 0, 1
10 no.jpg, 0, 1
21 no.jpg, 0, 1
no 923.jpg, 0, 1
N2.JPG, 0, 1
15 no.jpg, 0, 1
27 no.jpg, 0, 1
6 no.jpg, 0, 1
no 96.jpg, 0, 1
N19.JPG, 0, 1
no 5.jpeg, 0, 0
19 no.jpg, 0, 1
No19.jpg, 0, 0
N17.jpg, 0, 1
4 no.jpg, 0, 0
41 no.jpg, 0, 1
no 89.jpg, 0, 0
Y91.jpg, 1, 0
Y111.JPG, 1, 0
Y103.jpg, 1, 0
Y22.jpg, 1, 0
Y16.JPG, 1, 0
Y66.JPG, 1, 0
Y148.JPG, 1, 0
Y56.jpg, 1, 0
Y71.JPG, 1, 0
Y59.JPG, 1, 0
Y60.jpg, 1, 0
Y7.jpg, 1, 0
Y54.jpg, 1, 0
Y51.jpg, 1, 0
Y3.jpg, 1, 0
Y116.JPG, 1, 0
Y24.jpg, 1, 1
Y183.jpg, 1, 0
Y53.jpg, 1, 0
Y147.JPG, 1, 0
Y95.jpg, 1, 0
Y28.jpg, 1, 0
Y105.jpg, 1, 0
Y109.JPG, 1, 0
Y34.jpg, 1, 0
Y170.JPG, 1, 1
Y11.jpg, 1, 0
Y155.JPG, 1, 0
Y32.jpg, 1, 0
Y100.JPG, 1, 0
Y65.JPG, 1, 1
Y249.JPG, 1, 0
Y187.jpg, 1, 0
Y38.jpg, 1, 0
Y146.JPG, 1, 0
Y62.jpg, 1, 0
Y251.JPG, 1, 1
Y161.JPG, 1, 0
Y79.jpg, 1, 1
Y245.jpg, 1, 0
Y35.jpg, 1, 0
Y98.JPG, 1, 1
Y55.jpg, 1, 0
Y159.JPG, 1, 1
Y49.JPG, 1, 0
Y97.JPG, 1, 1
Y27.jpg, 1, 0
Y164.JPG, 1, 0
Y86.JPG, 1, 0
Y160.JPG, 1, 1
Y193.JPG, 1, 0
Y15.jpg, 1, 0
Y242.JPG, 1, 0
Y92.jpg, 1, 0
Y166.JPG, 1, 0
Y23.JPG, 1, 0
Y253.JPG, 1, 0
Y6.jpg, 1, 0
Y61.jpg, 1, 0
Y192.JPG, 1, 0
Y50.JPG, 1, 0
Y41.jpg, 1, 0
Y31.jpg, 1, 0
Y184.JPG, 1, 0
Y76.jpg, 1, 0
Y89.JPG, 1, 0
Y256.JPG, 1, 0
Y158.JPG, 1, 1
Y99.JPG, 1, 0
Y33.jpg, 1, 0
Y96.jpg, 1, 1
Y40.JPG, 1, 1
Y58.JPG, 1, 0
Y254.jpg, 1, 0
Y181.jpg, 1, 1
Y78.jpg, 1, 0
Y17.jpg, 1, 1
Y8.jpg, 1, 0
Y90.jpg, 1, 1
Y13.jpg, 1, 0
Y106.jpg, 1, 0
Y246.JPG, 1, 0
Y115.JPG, 1, 1
Y243.JPG, 1, 1
Y14.jpg, 1, 0
Y81.jpg, 1, 0
Y45.JPG, 1, 0
Y18.JPG, 1, 0
Y117.JPG, 1, 0
Y108.jpg, 1, 0
Y85.JPG, 1, 1
Y1.jpg, 1, 1
Y252.jpg, 1, 1
Y25.jpg, 1, 0
Y186.jpg, 1, 0
Y9.jpg, 1, 0
Y20.jpg, 1, 0
Y167.JPG, 1, 0
Y157.JPG, 1, 0
Y180.jpg, 1, 0
Y29.jpg, 1, 0
Y107.jpg, 1, 0
Y258.JPG, 1, 0
Y44.JPG, 1, 0
Y19.JPG, 1, 1
Y47.JPG, 1, 0
Y67.JPG, 1, 0
Y39.jpg, 1, 0
Y168.jpg, 1, 0
Y37.jpg, 1, 0
Y46.jpg, 1, 0
Y104.jpg, 1, 1
Y163.JPG, 1, 0
Y102.jpg, 1, 0
Y74.jpg, 1, 0
